Canonical Name,Map Data Name,Match Type,Distance
"Sudan","Sudan","EXACT",0
"Suriname","Suriname","EXACT",0
"Swaziland","Thailand","FUZZY",3
"Sweden","Sweden","EXACT",0
"Switzerland","Switzerland","EXACT",0
"Syria","Syria","EXACT",0
"Taiwan","Taiwan","EXACT",0
"Tajikistan","Tajikistan","EXACT",0
"Tanzania","Tanzania","EXACT",0
"Thailand","Thailand","EXACT",0
"Togo","Togo","EXACT",0
"Tonga","Tonga","EXACT",0
"Trinidad & Tobago","Trinidad and Tobago","FUZZY",3
"Tunisia","Tunisia","EXACT",0
"Turkey","Turkey","EXACT",0
"Turkmenistan","Turkmenistan","EXACT",0
"Tuvalu","Guam","FUZZY",4
"Uganda","Uganda","EXACT",0
"Ukraine","Ukraine","EXACT",0
"United Arab Emirates","United Arab Emirates","EXACT",0
"United Kingdom","United Kingdom","EXACT",0
"United States","United States of America","PARTIAL",11
"Uruguay","Uruguay","EXACT",0
"Uzbekistan","Uzbekistan","EXACT",0
"Vanuatu","Vanuatu","EXACT",0
"Vatican City","Vatican","PARTIAL",5
"Venezuela","Venezuela","EXACT",0
"Vietnam","Vietnam","EXACT",0
"Yemen","Yemen","EXACT",0
"Zambia","Zambia","EXACT",0
"Zimbabwe","Zimbabwe","EXACT",0
